Event_Id,year,month,day,country,region,city,latitude,longitude,summary,multiple_attack,attacktype,target_type,target_sub_type,group_name,weapon_type,nkill,nwound,nkillter,motive,decades,claimed
17,1970,1,11,Ethiopia,Sub-Saharan Africa,Unknown,NA,NA,,0,Unknown,Military,"Military Personnel (soldiers, troops, officers, forces)",Eritrean Liberation Front,Unknown,1,0,NA,,70s,
18,1970,1,12,United States,North America,New York City,40.697132,-73.931351,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",0,Bombing/Explosion,Educational Institution,School/University/Educational Building,Black Nationalists,Explosives,0,0,0,Suspected motives were to protest the Vietnam War and/or show support for the Black Panther Party and/or show support for the Young Lords.,70s,0
19,1970,1,12,United States,North America,Rio Grande,18.379998,-65.830948,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",0,Bombing/Explosion,Business,Multinational Corporation,Strikers,Explosives,0,0,0,,70s,0
20,1970,1,13,United States,North America,Seattle,47.610786,-122.331306,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Black Nationalists,Incendiary,0,0,0,Retaliation for the store owner who shot and killed an African American attempting to commit a robbery at his store.,70s,0
21,1970,1,14,United States,North America,Champaign,40.116748,-88.23927,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",0,Facility/Infrastructure Attack,Police,"Police Building (headquarters, station, school)",Black Nationalists,Incendiary,0,1,0,,70s,0
22,1970,1,15,Uruguay,South America,Montevideo,-34.891151,-56.187214,,0,Armed Assault,Educational Institution,School/University/Educational Building,Tupamaros (Uruguay),Firearms,0,0,NA,,70s,
23,1970,1,19,United States,North America,Seattle,47.610786,-122.331306,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",0,Bombing/Explosion,Educational Institution,School/University/Educational Building,Black Nationalists,Explosives,0,0,0,The incident took place during disturbances between the Black Student Union and the university.,70s,0
24,1970,1,19,United States,North America,Seattle,47.610786,-122.331306,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed.",0,Bombing/Explosion,Military,Military Recruiting Station/Academy,Student Radicals,Explosives,0,0,0,The incident took place during heightened antiwar sentiments in Seattle Washington.,70s,0
25,1970,1,19,United States,North America,Jersey City,40.717892,-74.067467,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages.",0,Facility/Infrastructure Attack,Violent Political Party,Party Office/Facility,White extremists,Incendiary,0,0,0,Intimidate the Black Panther Party.,70s,0
26,1970,1,20,Guatemala,Central America & Caribbean,Guatemala City,14.622869,-90.529068,,0,Assassination,Government (Diplomatic),Embassy/Consulate,Unknown,Unknown,1,0,NA,,70s,
27,1970,1,21,Philippines,Southeast Asia,Quezon City,14.67428,121.057495,,0,Bombing/Explosion,Government (Diplomatic),Embassy/Consulate,Unknown,Explosives,0,0,NA,,70s,
28,1970,1,22,Venezuela,South America,Caracas,10.482834,-66.962128,,0,Hostage Taking (Kidnapping),Business,Retail/Grocery/Bakery,Armed Forces of National Liberation- Venezuela (FALN),Unknown,0,0,NA,,70s,
29,1970,1,22,United States,North America,South Sioux City,42.47031,-96.413949,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States.  There were no casualties, however, a sizable hole was left in the house and windows were broken.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",0,Bombing/Explosion,Private Citizens & Property,House/Apartment/Residence,Strikers,Explosives,0,0,0,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,70s,0
30,1970,1,25,United States,North America,West Point,33.60651,-88.650419,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",0,Facility/Infrastructure Attack,Private Citizens & Property,Race/Ethnicity Identified,White extremists,Incendiary,0,0,0,The motive of the attack was to prevent the African American community of West Point Mississippi from organizing.,70s,0
31,1970,1,25,United States,North America,New York City,40.697132,-73.931351,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived.",0,Armed Assault,Police,Police Security Forces/Officers,Black Nationalists,Firearms,0,2,0,To kill police,70s,0
32,1970,1,26,United States,North America,West Point,33.60651,-88.650419,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States.  There were no injuries or fatalities but the windows of the building were shattered.",0,Bombing/Explosion,Government (General),Judge/Attorney/Court,Black Nationalists,Explosives,0,0,0,African American opposition to the school integration plan instituted by the federal government.  The government plan closed two Black schools.,70s,0
33,1970,1,26,United States,North America,New York City,40.697132,-73.931351,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit.",0,Armed Assault,Police,Police Patrol (including vehicles and convoys),Black Nationalists,Firearms,0,0,0,To kill police,70s,0
34,1970,1,27,United States,North America,Norwalk,41.241996,-82.615241,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States.  The perpetrators took out the draft records and set them on fire.  The attack caused an estimated $8,800 in damages.",0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,Left-Wing Militants,Incendiary,0,0,0,Protest and sabotage the draft,70s,0
35,1970,1,28,East Germany (GDR),Eastern Europe,Berlin,52.50153,13.401851,,0,Facility/Infrastructure Attack,Police,Police Security Forces/Officers,Unknown,Incendiary,NA,NA,NA,,70s,
36,1970,1,28,United States,North America,Seattle,47.610786,-122.331306,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States.  There were no casualties but the building sustained $1,000 in damages.  During this time period, there were numerous bombings in the Seattle area.",0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,White extremists,Explosives,0,0,0,,70s,0
37,1970,1,30,United States,North America,South Sioux City,42.479999,-96.413046,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at a building in South Sioux City, Nebraska, United States.  There were no casualties but the blast damaged the foundation of the building.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,Bombing/Explosion,Unknown,,Strikers,Explosives,0,0,0,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,70s,0
38,1970,1,30,United States,North America,South Sioux City,42.46634,-96.41405,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at the A & B Boat Shop in South Sioux City, Nebraska, United States.  There were no casualties but the blast caused $2,500 in damages.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,Bombing/Explosion,Business,Retail/Grocery/Bakery,Strikers,Explosives,0,0,0,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,70s,0
39,1970,1,30,United States,North America,Coral Gables,25.720851,-80.277857,"1/20/1970: Unknown perpetrators firebombed the premises of the Army R.O.T.C. at the University of Miami in Coral Gables, Florida, United States.  There were no casualties but an Army personal carrier was damaged.  Two firebombs did not explode.",0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Student Radicals,Incendiary,0,0,0,To protest the R.O.T.C. program and the War in Vietnam,70s,0
40,1970,1,31,Philippines,Southeast Asia,Bamban,15.675051,120.331618,,0,Unknown,Military,"Military Personnel (soldiers, troops, officers, forces)",New People's Army (NPA),Unknown,0,1,NA,,70s,
41,1970,1,31,United States,North America,Denver,39.758968,-104.876305,"1/31/1970: Unknown perpetrators bombed the Police Band Building in Denver, Colorado, United States.  There were no casualties but a restroom was damaged.",0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Unknown,Explosives,0,0,0,,70s,0
42,1970,2,1,United States,North America,Portland,45.511795,-122.675629,"2/1/1970: An unknown perpetrator broke into the Northeast Oregon building in Portland, Oregon, United States, which housed a Selective Service office and set fire to draft records.  About two hundred and fifty files were destroyed causing $4,189 in damage.",0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,Left-Wing Militants,Incendiary,0,0,0,Protest and sabotage the draft,70s,0
43,1970,2,1,United States,North America,Cairo,37.005105,-89.176269,"2/1/1970: Unknown perpetrators fired shots at an Illinois State Police Car that was patrolling the all-Black Pyramid Courts housing development in Cairo, Illinois, United States.  Three bullets struck the police car of Officers Harold Nelson and John Abercrombie.  Neither officer was injured but the windshield of vehicle car was shattered.",0,Armed Assault,Police,"Police Building (headquarters, station, school)",Black Nationalists,Firearms,0,0,0,To protest police presence in Pyramid Courts,70s,0
44,1970,2,2,United States,North America,New York City,40.697132,-73.931351,"2/2/1970: An incendiary device was discovered at Mays department store in Manhattan, New York, United States.  The device was dismantled before it inflicted any damage.  The next day, two incendiary devices were discovered at other department stores in New York City.",0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Unknown,Incendiary,0,0,0,,70s,0
45,1970,2,3,United States,North America,New York City,40.697132,-73.931351,"2/3/1970: In a series of related attacks, an incendiary device was discovered and dismantled at Alexander's Department Store in the Bronx, New York, United States.",1,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Unknown,Incendiary,0,0,0,,70s,0
46,1970,2,3,United States,North America,New York City,40.697132,-73.931351,"2/3/1970: In a series of related attacks, an incendiary device was ignited at Alexander's Department Store in Manhattan, New York, United States.  The device was immediately doused with water and did not cause any damage.",1,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Unknown,Incendiary,0,0,0,,70s,0
47,1970,2,4,United States,North America,Akron,41.084195,-81.514059,"2/4/1970: In an attack suspected of being connected with the Iowa Beef Packer's Strike, a dynamite bomb exploded near a parked car in Akron, Ohio, United States.  There were no casualties and the car sustained only minor damages.",0,Bombing/Explosion,Private Citizens & Property,Vehicles/Transportation,Strikers,Explosives,0,0,0,The attack occurred during the violent Iowa Beef Packers strike.,70s,0
48,1970,2,6,United States,North America,Denver,39.758968,-104.876305,"2/6/1970: Unknown anti-desegregationists detonated at least twelve dynamite bombs damaging thirty-nine vehicles, most of them school buses, in Denver, Colorado, United States.  There were no casualties.",0,Bombing/Explosion,Transportation,Bus (excluding tourists),Black Nationalists,Explosives,0,0,0,Sabotage/protest the integration of Denver City Schools.,70s,0
49,1970,2,6,United States,North America,Seattle,47.610786,-122.331306,"2/6/1970: Suspected White Racists detonated a bomb at the house of State Senator Fred Dore in Seattle, Washington, United States.  There were no casualties, but the house sustained major damages.  Dore was a White sympathizer of African American causes.",0,Bombing/Explosion,Government (General),Politician or Political Party Movement/Meeting/Rally,White extremists,Explosives,0,0,0,To intimidate/show dissatisfaction with White sympathizers of the African American cause.,70s,0
50,1970,2,6,United States,North America,Seattle,47.610786,-122.331306,"2/6/1970: Unknown perpetrators detonated a bomb at a synagogue in Seattle, Washington, United States.  There were no casualties but the building as well as surrounding residences sustained minor damage.   During this time period, there were numerous bombings in the Seattle area.",0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,White extremists,Explosives,0,0,0,,70s,0
51,1970,2,6,United States,North America,Dorado,18.460791,-66.264884,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a Selective Service office in Dorado, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage.",1,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,Armed Revolutionary Independence Movement (MIRA),Incendiary,0,0,0,To fight imperialism and exploitation.,70s,1
52,1970,2,6,United States,North America,Rio Piedras,18.386932,-66.061127,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a General Electric facility in Rio Piedras, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage.",1,Facility/Infrastructure Attack,Utilities,Electricity,Armed Revolutionary Independence Movement (MIRA),Incendiary,0,0,0,To fight imperialism and exploitation.,70s,1
53,1970,2,6,United States,North America,Carolina,18.441963,-66.026316,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at Hotel San Juan in Carolina, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage.",1,Facility/Infrastructure Attack,Business,Hotel/Resort,Armed Revolutionary Independence Movement (MIRA),Incendiary,0,0,0,To fight imperialism and exploitation.,70s,1
54,1970,2,6,United States,North America,Boston,42.3505,-71.105399,"2/6/1970: Unknown perpetrators firebombed an R.O.T.C. office at Boston University in Boston, Massachusetts, United States.  There were no casualties but the resulting fire damaged the office.",0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Student Radicals,Incendiary,0,0,0,To protest the R.O.T.C. program,70s,0
55,1970,2,7,United States,North America,Whitewater,42.838355,-88.743224,"2/7/1970: Unknown perpetrators set a fire in Old Mail Hall at Wisconsin State College in Whitewater, Wisconsin, United States.  There were no casualties but the building sustained an estimated $1,000,000 in damages.",0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,Student Radicals,Incendiary,0,0,0,,70s,0
56,1970,2,8,United States,North America,New York City,40.697132,-73.931351,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Queens, New York, United States.  There were no casualties but the building sustains minor damages.",1,Bombing/Explosion,Business,Multinational Corporation,Armed Revolutionary Independence Movement (MIRA),Explosives,0,0,0,To fight imperialism and exploitation.,70s,1
57,1970,2,8,United States,North America,New York City,40.697132,-73.931351,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Brooklyn, New York, United States.  There are no casualties but the building sustains minor damages.",1,Bombing/Explosion,Business,Multinational Corporation,Armed Revolutionary Independence Movement (MIRA),Explosives,0,0,0,To fight imperialism and exploitation.,70s,1
58,1970,2,9,United States,North America,New York City,40.697132,-73.931351,"2/9/1970: In a series of related events, a member of the Armed Revolutionary Independence Movement (MIRA) was suspected of placing a bomb at the General Electric Headquarters in Manhattan, New York, United States.   The bomb was discovered and subsequently removed.",1,Bombing/Explosion,Business,Multinational Corporation,Armed Revolutionary Independence Movement (MIRA),Explosives,0,0,0,To fight imperialism and exploitation.,70s,1
59,1970,2,9,United States,North America,Batavia,39.07859,-84.179414,"2/9/1970: Unknown perpetrators in Batavia, Ohio, United States, bombed two cars belonging to Leslie Jewel, an employee of General Electric that was not part of the union.  The automobiles were damaged, but there were no casualties.  There had been a recent labor strike at the nearby General Electric Evendale plant.",0,Bombing/Explosion,Private Citizens & Property,Named Civilian,Strikers,Explosives,0,0,0,Protest employees of General Electric who were not union members,70s,0
60,1970,2,10,West Germany (FRG),Western Europe,Munich,48.139126,11.580186,,0,Armed Assault,Airports & Aircraft,Airport,Popular Front for the Liberation of Palestine (PFLP),Firearms,1,NA,NA,,70s,
61,1970,2,11,United States,North America,Ypsilanti,42.263414,-83.665281,"2/11/1970: Unknown perpetrators threw a firebomb into a building at Washtenaw Community College in Ypsilanti, Michigan, United States.  There were no casualties, but the buildings sustained an estimated $2,500 in damages.",0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,Student Radicals,Incendiary,0,0,0,,70s,0
62,1970,2,13,United States,North America,Berkeley,37.874043,-122.280022,,0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Unknown,Explosives,0,7,NA,,70s,
63,1970,2,13,West Germany (FRG),Western Europe,Munich,48.139126,11.580186,,0,Facility/Infrastructure Attack,Private Citizens & Property,House/Apartment/Residence,Popular Front for the Liberation of Palestine (PFLP),Incendiary,7,9,NA,,70s,
64,1970,2,13,United States,North America,Berkeley,37.874043,-122.280022,"2/13/1970: Unknown perpetrators detonated two dynamite bombs in the parking lot of the Berkeley Police Station in California, United States, during a shift change.  Seven police officers were injured, three cars were destroyed, and windows were shattered at nearby buildings.",0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Black Nationalists,Explosives,0,7,0,To intimidate the police.,70s,0
65,1970,2,15,United States,North America,New York City,40.697132,-73.931351,"7/15/1970: Unknown perpetrators bombed the Chase Manhattan Bank in Manhattan, New York, United States.  There were no casualties, however, the glass doors of the building and windows were shattered.",0,Bombing/Explosion,Business,Bank/Commerce,Left-Wing Militants,Explosives,0,0,0,,70s,0
66,1970,2,15,United States,North America,Eugene,44.04483,-123.072606,"2/15/1970: Unknown perpetrators set fire to a building housing an R.O.T.C. storage area at the University of Oregon in Eugene, Oregon, United States.  One fireman was injured fighting the blaze and the men's physical education building sustained an estimated $350,000 in damages.  The incident took place a week after the university voted to retain the R.O.T.C. program.",0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Student Radicals,Incendiary,0,1,0,To protest the University of Oregon's decision to retain the R.O.T.C. program,70s,0
67,1970,2,16,United States,North America,San Francisco,37.755363,-122.443352,,1,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Unknown,Explosives,1,0,NA,,70s,
68,1970,2,16,United States,North America,Berkeley,37.874043,-122.280022,,1,Bombing/Explosion,Business,Retail/Grocery/Bakery,Unknown,Explosives,0,0,NA,,70s,
69,1970,2,16,United States,North America,Berkeley,37.874043,-122.280022,,1,Bombing/Explosion,Business,Retail/Grocery/Bakery,Unknown,Explosives,0,0,NA,,70s,
70,1970,2,16,United States,North America,San Francisco,37.755363,-122.443352,"2/16/1970: Four hours after a San Francisco Police Station was bombed in California, United States, a sniper took aim at three police officers.  However, police fired at the sniper before he could get a shot off.  The sniper and a companion fled the scene before being apprehended.",1,Armed Assault,Police,Police Security Forces/Officers,Left-Wing Militants,Firearms,0,0,0,To intimidate the police.,70s,0
71,1970,2,17,United States,North America,Oakland,37.791927,-122.225906,"2/17/1970: A day after bombings in San Francisco and Berkeley, twenty-four sticks of dynamite were discovered at Walter Boysen Paint Company in Oakland, California, United States.  The bombs never detonated.",0,Bombing/Explosion,Business,Construction,Unknown,Explosives,0,0,0,,70s,0
72,1970,2,17,United States,North America,Buckeystown,39.334825,-77.431653,"2/17/1970: Unknown perpetrators bombed a power pole in Buckeystown, Maryland, United States.  There were no casualties, however, as a result of the bombing, five-hundred homes and two industrial facilities lost power.  Windows were also shattered in buildings a quarter of a mile a way.",0,Bombing/Explosion,Utilities,Electricity,Unknown,Explosives,0,0,0,,70s,0
73,1970,2,17,United States,North America,Covington,30.493919,-90.132512,"2/17/1970: Unknown perpetrators detonated a bomb at Covington High School in Louisiana, United States.  There were no casualties but the building sustained minor damages.  The bombing took place six months before the school was integrated.",0,Bombing/Explosion,Educational Institution,School/University/Educational Building,White extremists,Explosives,0,0,0,Suspected motive was to protest school integration.,70s,0
74,1970,2,17,United States,North America,Seattle,47.610786,-122.331306,"2/17/1970: Unknown perpetrators placed a gasoline bomb underneath the Armory at the University of Washington in Seattle, United States.  The bomb did not explode and was later discovered and removed.",0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,Student Radicals,Explosives,0,0,0,Protest the War in Vietnam,70s,0
75,1970,2,18,United States,North America,Cleveland,41.479561,-81.675461,"2/18/1970: Amidst a period racial strife at Cuyahoga Community College in Cleveland, Ohio, United States, unknown perpetrators detonated a bomb that damaged a car of a police officer working as a security guard.",0,Bombing/Explosion,Police,Police Security Forces/Officers,Black Nationalists,Explosives,0,0,0,,70s,0
76,1970,2,18,United States,North America,Vallejo,38.10083,-122.254954,"2/18/1970: Booby trapped handgrenades were discovered wired to a car in the parking lot of the Vallejo Police Department in California, United States.  The device was deactivated.",0,Bombing/Explosion,Police,Police Security Forces/Officers,Black Nationalists,Explosives,0,0,0,,70s,0
77,1970,2,20,United States,North America,Hartford,41.763325,-72.674069,"2/20/1970: Unknown perpetrators threw a Molotov cocktail at a Federal Building that housed a United States Courthouse in Hartford, Connecticut, United States.  There were no casualties but the building sustained an estimated $450 in damages.",0,Facility/Infrastructure Attack,Government (General),Judge/Attorney/Court,Left-Wing Militants,Incendiary,0,0,0,,70s,1
78,1970,2,20,United States,North America,New York City,40.697132,-73.931351,"2/20/1970: Unknown perpetrators ignited a firebomb at the Columbia University International Law Library in Manhattan, New York, United States.  There were no casualties but the building sustained slight damages.",0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,Student Radicals,Incendiary,0,0,0,,70s,0
79,1970,2,20,United States,North America,Seattle,47.610786,-122.331306,"2/20/1970: Unknown perpetrators placed two dynamite bombs at the construction site of the School of Architecture at the University of Washington in Seattle, Washington, United States.  Only one of the two bombs exploded causing little damage.  There were no casualties.",0,Bombing/Explosion,Educational Institution,School/University/Educational Building,Student Radicals,Explosives,0,0,0,,70s,0
80,1970,2,21,West Germany (FRG),Western Europe,Frankfurt,50.11797,8.644191,,0,Bombing/Explosion,Airports & Aircraft,Aircraft (not at an airport),"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",Explosives,0,0,NA,,70s,
81,1970,2,21,Switzerland,Western Europe,Zurich,47.36865,8.539182,,0,Bombing/Explosion,Airports & Aircraft,Aircraft (not at an airport),"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",Explosives,47,0,NA,,70s,
82,1970,2,21,United States,North America,New York City,40.697132,-73.931351,"2/21/1970: Unknown perpetrators threw a firebomb at a police car in front of the Charles Street Police Station in Greenwich, New York, United States.  Another bomb was thrown to the pavement  seventy-five feet away.  The attacks caused no damages or casualties.",0,Facility/Infrastructure Attack,Police,"Police Building (headquarters, station, school)",Left-Wing Militants,Incendiary,0,0,0,,70s,0
83,1970,2,21,United States,North America,New York City,40.697132,-73.931351,"2/21/1970: Two Military Recruiting Stations in the vicinity of Brooklyn College were firebombed by unknown perpetrators in New York, United States.  There were no casualties but the recruiting stations sustained minor damages before the fire was extinguished.",0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Left-Wing Militants,Incendiary,0,0,0,,70s,0
84,1970,2,21,United States,North America,New York City,40.697132,-73.931351,"2/21/1970: The Weathermen claimed credit for bombing the residence of State Supreme Court Justice John Murtagh New York, United States.  The attack caused no casualties but the house sustained minor damages.  Judge Murtagh was presiding over a trial of thirteen Black Panther members at the time.    Anti-Vietnam war and pro-Black Panther graffiti was left at the scene of the attack.",0,Bombing/Explosion,Private Citizens & Property,Named Civilian,"Weather Underground, Weathermen",Explosives,0,0,0,Protest Vietnam War and show support for Black Panthers.,70s,1
